invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Hour,Total,Day_of_Week,Month,Year,Week
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,19:01:00,Cash,8.2,0.48,19,687.84,Thursday,2,2019,9
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,11:26:00,Cash,5.8,0.36,11,88.68,Wednesday,3,2019,13
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-07-02,11:28:00,Ewallet,6.6,0.33,11,716.8,Tuesday,7,2019,27
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,15:55:00,Cash,5.4,0.33,15,723.5,Sunday,1,2019,3
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-12-03,20:36:00,Cash,9.3,0.48,20,183.66,Tuesday,12,2019,49
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,17:47:00,Credit card,10.0,0.48,17,74.22,Friday,2,2019,7
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,10:55:00,Ewallet,7.0,0.33,10,334.38,Sunday,2,2019,8
63,WALM037,League City,Sports and travel,55.07,9.0,2019-03-02,13:40:00,Ewallet,10.0,0.48,13,495.63,Saturday,3,2019,9
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-06-03,12:27:00,Credit card,8.6,0.33,12,158.1,Monday,6,2019,23
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,14:35:00,Cash,7.6,0.33,14,302.96,Thursday,2,2019,7
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,16:40:00,Cash,5.8,0.48,16,158.7,Wednesday,3,2019,11
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-10-02,15:43:00,Ewallet,6.7,0.48,15,66.94,Wednesday,10,2019,40
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-07-01,15:01:00,Ewallet,9.9,0.48,15,585.66,Monday,7,2019,27
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,10:04:00,Cash,6.4,0.33,10,787.6999999999999,Thursday,1,2019,4
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,18:50:00,Cash,4.3,0.48,18,18.33,Saturday,2,2019,5
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-06-01,12:46:00,Credit card,9.6,0.48,12,894.8000000000001,Saturday,6,2019,22
72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-11-02,16:19:00,Cash,5.9,0.48,16,621.1999999999999,Saturday,11,2019,44
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-05-03,18:17:00,Ewallet,4.0,0.18,18,145.56,Friday,5,2019,18
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-09-03,18:21:00,Cash,8.7,0.33,18,455.46,Tuesday,9,2019,36
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,10:55:00,Ewallet,9.4,0.33,10,672.03,Tuesday,1,2019,4
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,17:04:00,Credit card,5.4,0.48,17,416.5,Sunday,1,2019,2
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-09-01,14:20:00,Credit card,8.6,0.33,14,441.36,Sunday,9,2019,35
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-12-01,15:48:00,Credit card,5.7,0.33,15,180.09,Sunday,12,2019,48
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-05-03,16:24:00,Ewallet,6.6,0.33,16,783.1,Friday,5,2019,18
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,18:56:00,Cash,6.0,0.33,18,101.89999999999999,Tuesday,1,2019,4
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,14:42:00,Credit card,5.5,0.33,14,595.14,Monday,1,2019,4
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,19:56:00,Ewallet,6.4,0.33,19,290.04,Saturday,1,2019,4
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,18:37:00,Ewallet,6.6,0.33,18,154.0,Wednesday,1,2019,4
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,18:45:00,Ewallet,8.3,0.48,18,321.44,Saturday,2,2019,8
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-09-03,10:17:00,Cash,6.6,0.18,10,244.54999999999998,Tuesday,9,2019,36
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-05-03,14:31:00,Ewallet,4.0,0.48,14,581.4200000000001,Friday,5,2019,18
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,10:23:00,Cash,9.9,0.48,10,382.59999999999997,Monday,3,2019,13
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,20:35:00,Credit card,7.3,0.48,20,345.66,Wednesday,3,2019,13
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-02-01,16:57:00,Cash,5.7,0.48,16,42.47,Friday,2,2019,5
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,17:55:00,Cash,6.1,0.33,17,461.93999999999994,Wednesday,2,2019,9
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,10:25:00,Cash,7.1,0.33,10,189.52,Wednesday,1,2019,4
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,19:54:00,Ewallet,8.2,0.48,19,448.6,Saturday,1,2019,4
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-10-01,16:42:00,Ewallet,5.1,0.48,16,153.86,Tuesday,10,2019,40
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-12-03,12:09:00,Credit card,8.6,0.33,12,579.24,Tuesday,12,2019,49
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-06-02,20:05:00,Credit card,6.6,0.33,20,89.75,Sunday,6,2019,22
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-08-03,20:38:00,Ewallet,7.2,0.48,20,97.16,Saturday,8,2019,31
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,10:25:00,Ewallet,5.1,0.48,10,878.7,Friday,3,2019,13
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-09-02,13:11:00,Cash,4.1,0.18,13,74.69999999999999,Monday,9,2019,36
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,10:16:00,Ewallet,9.3,0.48,10,158.25,Saturday,3,2019,12
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-05-03,18:14:00,Cash,7.4,0.48,18,496.20000000000005,Friday,5,2019,18
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,19:20:00,Cash,4.1,0.33,19,48.71,Tuesday,3,2019,13
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-01-03,13:22:00,Cash,7.2,0.33,13,706.9499999999999,Thursday,1,2019,1
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-01-02,11:27:00,Cash,4.9,0.48,11,207.63,Wednesday,1,2019,1
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,16:44:00,Cash,9.9,0.48,16,349.56,Thursday,3,2019,13
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,18:19:00,Cash,8.0,0.33,18,212.45000000000002,Tuesday,3,2019,12
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-12-01,14:50:00,Ewallet,7.3,0.33,14,886.7,Sunday,12,2019,48
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-05-01,20:54:00,Credit card,7.9,0.48,20,164.28,Wednesday,5,2019,18
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,20:19:00,Cash,7.4,0.48,20,372.78000000000003,Friday,3,2019,12
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,10:43:00,Cash,4.2,0.48,10,305.82,Sunday,3,2019,12
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,14:30:00,Cash,9.2,0.33,14,819.7,Sunday,3,2019,9
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-05-02,11:32:00,Ewallet,4.6,0.48,11,32.98,Thursday,5,2019,18
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-05-02,10:41:00,Credit card,7.8,0.48,10,294.63,Thursday,5,2019,18
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,12:44:00,Cash,8.4,0.48,12,509.88,Friday,2,2019,7
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,20:07:00,Ewallet,4.3,0.48,20,522.63,Saturday,1,2019,3
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-01-02,20:31:00,Credit card,9.5,0.36,20,727.11,Wednesday,1,2019,1
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-02-03,13:01:00,Credit card,7.1,0.33,13,81.06,Sunday,2,2019,5
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-05-03,12:29:00,Ewallet,5.3,0.48,12,109.7,Friday,5,2019,18
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,15:26:00,Ewallet,5.2,0.33,15,51.36,Wednesday,1,2019,3
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,20:48:00,Ewallet,6.0,0.48,20,109.60000000000001,Saturday,2,2019,5
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,20:38:00,Ewallet,4.1,0.33,20,106.88,Sunday,1,2019,3
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,17:03:00,Credit card,5.2,0.48,17,796.48,Thursday,2,2019,7
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-12-01,12:02:00,Credit card,6.5,0.33,12,399.84,Sunday,12,2019,48
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-09-03,17:26:00,Credit card,4.2,0.33,17,899.64,Tuesday,9,2019,36
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,19:52:00,Credit card,4.6,0.33,19,511.28,Wednesday,3,2019,11
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-09-03,14:57:00,Ewallet,7.3,0.33,14,451.76,Tuesday,9,2019,36
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-10-03,18:44:00,Credit card,4.5,0.48,18,655.8299999999999,Thursday,10,2019,40
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,13:26:00,Cash,9.0,0.48,13,161.25,Sunday,1,2019,4
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-08-01,16:17:00,Credit card,5.9,0.48,16,285.57,Thursday,8,2019,31
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-08-01,15:57:00,Ewallet,8.5,0.48,15,548.32,Thursday,8,2019,31
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-08-02,11:15:00,Ewallet,7.2,0.48,11,812.52,Friday,8,2019,31
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,13:18:00,Cash,7.5,0.48,13,277.34,Friday,1,2019,4
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-06-03,20:34:00,Cash,8.3,0.33,20,552.78,Monday,6,2019,23
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-10-02,18:36:00,Cash,7.4,0.33,18,139.36,Wednesday,10,2019,40
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,14:40:00,Credit card,8.8,0.36,14,524.7,Sunday,2,2019,7
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-08-03,16:43:00,Ewallet,5.3,0.33,16,487.79999999999995,Saturday,8,2019,31
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,19:39:00,Cash,6.2,0.18,19,270.65999999999997,Monday,2,2019,8
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,20:59:00,Credit card,8.8,0.48,20,131.54999999999998,Friday,1,2019,3
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,15:39:00,Cash,9.8,0.33,15,206.52,Monday,2,2019,8
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,12:21:00,Cash,8.2,0.48,12,519.0999999999999,Saturday,2,2019,7
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,19:25:00,Ewallet,9.2,0.48,19,580.0,Saturday,3,2019,11
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,13:00:00,Credit card,5.4,0.48,13,898.0,Wednesday,1,2019,4
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,13:48:00,Cash,8.1,0.48,13,905.0,Friday,1,2019,4
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-05-02,19:57:00,Cash,9.1,0.57,19,686.0,Thursday,5,2019,18
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,10:36:00,Credit card,8.4,0.18,10,30.41,Friday,2,2019,8
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,16:37:00,Credit card,8.0,0.48,16,467.70000000000005,Monday,1,2019,4
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-08-03,17:11:00,Credit card,9.5,0.48,17,277.56,Saturday,8,2019,31
147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-10-02,12:28:00,Ewallet,9.2,0.48,12,301.4,Wednesday,10,2019,40
148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,12:46:00,Credit card,5.6,0.21,12,264.56,Tuesday,3,2019,12
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8.0,2019-06-03,15:07:00,Credit card,6.2,0.48,15,574.88,Monday,6,2019,23
150,WALM065,Texas City,Health and beauty,32.46,8.0,2019-03-27,13:48:00,Credit card,4.9,0.33,13,259.68,Wednesday,3,2019,13
151,WALM016,Brownsville,Fashion accessories,91.54,4.0,2019-03-23,19:20:00,Credit card,4.8,0.48,19,366.16,Saturday,3,2019,12
152,WALM070,Hurst,Sports and travel,34.56,7.0,2019-11-03,16:07:00,Credit card,7.3,0.33,16,241.92000000000002,Sunday,11,2019,44
153,WALM099,Weatherford,Fashion accessories,83.24,9.0,2019-01-29,11:56:00,Credit card,7.4,0.18,11,749.16,Tuesday,1,2019,5
154,WALM071,Lufkin,Food and beverages,16.48,6.0,2019-07-02,18:23:00,Ewallet,9.9,0.33,18,98.88,Tuesday,7,2019,27
155,WALM078,Del Rio,Sports and travel,80.97,8.0,2019-01-28,13:05:00,Cash,9.3,0.33,13,647.76,Monday,1,2019,5
156,WALM074,Weslaco,Food and beverages,92.29,5.0,2019-02-20,15:55:00,Cash,9.0,0.33,15,461.45000000000005,Wednesday,2,2019,8
157,WALM042,Bryan,Electronic accessories,72.17,1.0,2019-04-01,19:40:00,Cash,6.1,0.48,19,72.17,Monday,4,2019,14
158,WALM013,Irving,Home and lifestyle,50.28,5.0,2019-07-03,13:58:00,Ewallet,9.7,0.48,13,251.4,Wednesday,7,2019,27
159,WALM100,Canyon,Health and beauty,97.22,9.0,2019-03-30,14:43:00,Ewallet,6.0,0.18,14,874.98,Saturday,3,2019,13
160,WALM094,Alamo,Sports and travel,93.39,6.0,2019-03-27,19:18:00,Ewallet,10.0,0.33,19,560.34,Wednesday,3,2019,13
161,WALM028,Odessa,Food and beverages,43.18,8.0,2019-01-19,19:39:00,Credit card,8.3,0.48,19,345.44,Saturday,1,2019,3
162,WALM019,Pasadena,Sports and travel,63.69,1.0,2019-02-25,16:21:00,Cash,6.0,0.48,16,63.69,Monday,2,2019,9
163,WALM011,Lubbock,Food and beverages,45.79,7.0,2019-03-13,19:44:00,Credit card,7.0,0.48,19,320.53,Wednesday,3,2019,11
164,WALM084,Schertz,Sports and travel,76.4,2.0,2019-01-30,19:42:00,Ewallet,6.5,0.33,19,152.8,Wednesday,1,2019,5
165,WALM057,Euless,Food and beverages,39.9,10.0,2019-02-20,15:24:00,Credit card,5.9,0.33,15,399.0,Wednesday,2,2019,8
166,WALM088,Cleburne,Health and beauty,42.57,8.0,2019-02-25,14:12:00,Ewallet,5.6,0.33,14,340.56,Monday,2,2019,9
167,WALM061,Cedar Park,Home and lifestyle,95.58,10.0,2019-01-16,13:32:00,Cash,4.8,0.33,13,955.8,Wednesday,1,2019,3
168,WALM040,Edinburg,Fashion accessories,98.98,10.0,2019-08-02,16:20:00,Credit card,8.7,0.48,16,989.8000000000001,Friday,8,2019,31
169,WALM069,Rockwall,Food and beverages,51.28,6.0,2019-01-19,16:31:00,Cash,6.5,0.33,16,307.68,Saturday,1,2019,3
170,WALM089,Southlake,Sports and travel,69.52,7.0,2019-01-02,15:10:00,Credit card,8.5,0.33,15,486.64,Wednesday,1,2019,1
171,WALM031,Lewisville,Health and beauty,70.01,5.0,2019-03-01,11:36:00,Ewallet,5.5,0.48,11,350.05,Friday,3,2019,9
172,WALM039,Longview,Food and beverages,80.05,5.0,2019-01-26,12:45:00,Credit card,9.4,0.48,12,400.25,Saturday,1,2019,4
173,WALM039,Longview,Electronic accessories,20.85,8.0,2019-03-03,19:17:00,Cash,6.3,0.48,19,166.8,Sunday,3,2019,9
174,WALM047,Flower Mound,Electronic accessories,52.89,6.0,2019-01-19,17:34:00,Credit card,9.8,0.48,17,317.34000000000003,Saturday,1,2019,3
175,WALM071,Lufkin,Food and beverages,19.79,8.0,2019-01-18,12:04:00,Ewallet,8.7,0.33,12,158.32,Friday,1,2019,3
176,WALM060,DeSoto,Home and lifestyle,33.84,9.0,2019-03-21,16:21:00,Ewallet,8.8,0.33,16,304.56000000000006,Thursday,3,2019,12
177,WALM073,Seguin,Food and beverages,22.17,8.0,2019-03-03,17:01:00,Credit card,9.6,0.33,17,177.36,Sunday,3,2019,9
178,WALM059,Pflugerville,Fashion accessories,22.51,7.0,2019-02-13,10:50:00,Credit card,4.8,0.33,10,157.57000000000002,Wednesday,2,2019,7
179,WALM012,Garland,Food and beverages,73.88,6.0,2019-03-23,19:16:00,Ewallet,4.4,0.48,19,443.28,Saturday,3,2019,12
180,WALM086,Rosenberg,Health and beauty,86.8,3.0,2019-01-28,16:47:00,Ewallet,9.9,0.33,16,260.4,Monday,1,2019,5
181,WALM073,Seguin,Fashion accessories,64.26,7.0,2019-09-02,10:00:00,Cash,5.7,0.33,10,449.82000000000005,Monday,9,2019,36
182,WALM028,Odessa,Food and beverages,38.47,8.0,2019-01-23,11:51:00,Cash,7.7,0.48,11,307.76,Wednesday,1,2019,4
183,WALM053,Conroe,Sports and travel,15.5,10.0,2019-03-23,10:55:00,Ewallet,8.0,0.57,10,155.0,Saturday,3,2019,12
184,WALM024,Carrollton,Health and beauty,34.31,8.0,2019-01-25,15:00:00,Ewallet,5.7,0.48,15,274.48,Friday,1,2019,4
185,WALM097,Alice,Sports and travel,12.34,7.0,2019-04-03,11:19:00,Credit card,6.7,0.18,11,86.38,Wednesday,4,2019,14
186,WALM072,Lancaster,Food and beverages,18.08,3.0,2019-05-03,19:46:00,Ewallet,8.0,0.33,19,54.239999999999995,Friday,5,2019,18
187,WALM023,Midland,Home and lifestyle,94.49,8.0,2019-03-03,19:00:00,Ewallet,7.5,0.48,19,755.92,Sunday,3,2019,9
188,WALM038,Sugar Land,Home and lifestyle,46.47,4.0,2019-08-02,10:53:00,Cash,7.0,0.48,10,185.88,Friday,8,2019,31
189,WALM078,Del Rio,Home and lifestyle,74.07,1.0,2019-10-02,12:50:00,Ewallet,9.9,0.33,12,74.07,Wednesday,10,2019,40
